country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Nepal,"13.33 
 (11.86 to 14.93)","13.81 
 (12.27 to 15.50)","10.63 
 (9.58 to 11.70)","2.52 
 (2.32 to 2.78)","0.10 
 (0.10 to 0.11)"
New Zealand,"0.07 
 (0.05 to 0.16)","0.08 
 (0.05 to 0.18)","0.04 
 (0.03 to 0.09)","0.02 
 (0.01 to 0.04)","0.00 
 (0.00 to 0.00)"
Oman,"11.89 
 (10.48 to 13.75)","15.59 
 (13.43 to 20.78)","15.57 
 (13.42 to 20.75)","0.51 
 (0.41 to 0.62)","0.06 
 (0.05 to 0.07)"
Pakistan,"2.14 
 (nan to 105.20)","4.41 
 (3.17 to 5.86)","1.90 
 (1.69 to 2.28)","0.42 
 (0.39 to 0.49)","0.13 
 (0.12 to 0.14)"
Panama,"4.64 
 (3.04 to 6.49)","5.66 
 (3.79 to 7.65)","0.37 
 (0.26 to 0.51)","0.13 
 (0.09 to 0.17)","0.02 
 (0.01 to 0.02)"
Peru,"12.69 
 (10.48 to 14.71)","13.54 
 (11.12 to 16.24)","1.58 
 (1.32 to 1.90)","0.22 
 (0.18 to 0.26)","0.02 
 (0.02 to 0.03)"
Philippines,"68.09 
 (64.16 to 74.82)","90.11 
 (79.46 to 115.10)","3.68 
 (3.48 to 3.99)","0.51 
 (0.49 to 0.55)","0.07 
 (0.07 to 0.08)"
Papua New Guinea,"32.26 
 (30.57 to 34.50)","35.84 
 (33.73 to 39.19)","21.28 
 (20.22 to 23.13)","3.41 
 (3.26 to 3.71)","0.19 
 (0.18 to 0.20)"
Poland,"0.15 
 (0.08 to 0.29)","0.11 
 (0.07 to 0.18)","0.08 
 (0.05 to 0.13)","0.06 
 (0.04 to 0.10)","0.00 
 (0.00 to 0.00)"
Puerto Rico,"19.69 
 (17.88 to 23.17)","19.15 
 (17.08 to 22.95)","7.89 
 (7.12 to 9.36)","5.44 
 (4.92 to 6.43)","0.19 
 (0.17 to 0.22)"
Portugal,"23.25 
 (21.86 to 26.18)","26.01 
 (24.04 to 30.94)","4.79 
 (4.52 to 5.44)","1.63 
 (1.54 to 1.85)","0.04 
 (0.04 to 0.05)"
Qatar,"140.88 
 (126.12 to 160.71)","183.56 
 (159.80 to 242.63)","166.42 
 (146.24 to 214.98)","2.99 
 (2.41 to 3.78)","0.42 
 (0.37 to 0.49)"
Romania,"11.99 
 (11.03 to 13.81)","13.25 
 (11.74 to 15.70)","5.25 
 (4.69 to 6.11)","2.33 
 (2.09 to 2.72)","0.07 
 (0.06 to 0.08)"
Russian Federation,"6.18 
 (5.46 to 7.29)","5.47 
 (4.72 to 6.59)","2.26 
 (1.97 to 2.72)","1.71 
 (1.50 to 2.05)","0.11 
 (0.10 to 0.13)"
Rwanda,"0.85 
 (0.22 to 1.09)","1.39 
 (1.15 to 1.94)","3.64 
 (2.89 to 4.45)","0.99 
 (0.79 to 1.21)","0.18 
 (0.15 to 0.22)"
Saudi Arabia,"5.89 
 (4.09 to 8.61)","6.54 
 (4.63 to 9.88)","0.34 
 (0.25 to 0.46)","0.06 
 (0.04 to 0.08)","0.00 
 (0.00 to 0.01)"
Sudan,"42.73 
 (39.83 to 47.18)","54.13 
 (49.10 to 66.03)","53.99 
 (48.97 to 65.79)","0.84 
 (0.73 to 0.97)","0.26 
 (0.24 to 0.28)"
El Salvador,"9.84 
 (7.73 to 12.16)","12.17 
 (9.48 to 15.30)","1.24 
 (0.97 to 1.58)","0.46 
 (0.36 to 0.58)","0.06 
 (0.04 to 0.07)"
Slovakia,"0.51 
 (0.32 to 0.80)","0.50 
 (0.32 to 0.76)","0.21 
 (0.14 to 0.30)","0.12 
 (0.08 to 0.17)","0.00 
 (0.00 to 0.01)"
Slovenia,"0.24 
 (0.11 to 0.58)","0.28 
 (0.11 to 0.57)","0.20 
 (0.09 to 0.40)","0.08 
 (0.03 to 0.15)","0.00 
 (0.00 to 0.00)"
Sweden,"31.08 
 (27.68 to 36.16)","35.66 
 (31.87 to 42.30)","11.02 
 (10.07 to 12.45)","1.59 
 (1.47 to 1.81)","0.15 
 (0.13 to 0.16)"
Syria,"29.19 
 (26.05 to 34.69)","39.99 
 (35.92 to 54.58)","4.72 
 (3.83 to 6.22)","0.17 
 (0.15 to 0.20)","0.16 
 (0.14 to 0.20)"
Chad,"8.83 
 (7.38 to 16.28)","14.03 
 (11.40 to 21.85)","4.44 
 (4.02 to 5.07)","0.50 
 (0.45 to 0.58)","0.05 
 (0.04 to 0.05)"
Thailand,"42.10 
 (32.34 to 102.07)","65.79 
 (55.96 to 84.20)","3.11 
 (2.83 to 3.44)","2.03 
 (1.85 to 2.24)","0.10 
 (0.09 to 0.11)"
Tajikistan,"7.16 
 (nan to 15.57)","11.90 
 (9.55 to 15.61)","3.61 
 (3.31 to 4.09)","1.03 
 (0.96 to 1.17)","0.19 
 (0.18 to 0.21)"
Tunisia,"48.76 
 (41.92 to 63.28)","63.72 
 (54.88 to 82.89)","4.48 
 (4.15 to 5.11)","2.37 
 (2.20 to 2.71)","0.14 
 (0.13 to 0.16)"
Turkey,"23.23 
 (18.48 to 29.01)","30.97 
 (24.92 to 43.08)","3.59 
 (2.81 to 4.61)","1.84 
 (1.44 to 2.37)","0.10 
 (0.08 to 0.12)"
Taiwan,"26.93 
 (25.37 to 30.21)","30.76 
 (28.32 to 38.85)","3.83 
 (3.65 to 4.21)","2.32 
 (2.21 to 2.55)","0.07 
 (0.07 to 0.08)"
United Republic of Tanzania,"0.12 
 (nan to 0.22)","0.31 
 (0.18 to 0.41)","0.14 
 (0.10 to 0.16)","0.01 
 (0.01 to 0.02)","0.00 
 (0.00 to 0.00)"
Uganda,"22.63 
 (13.07 to 25.04)","34.64 
 (30.52 to 45.11)","1.66 
 (1.55 to 1.80)","0.22 
 (0.20 to 0.23)","0.09 
 (0.08 to 0.09)"
Ukraine,"3.02 
 (2.60 to 3.65)","1.77 
 (1.52 to 2.10)","1.13 
 (0.98 to 1.34)","0.89 
 (0.79 to 1.03)","0.26 
 (0.24 to 0.28)"
United States of America,"0.20 
 (0.13 to 0.38)","0.22 
 (0.15 to 0.39)","0.44 
 (0.29 to 0.76)","0.22 
 (0.14 to 0.38)","0.02 
 (0.01 to 0.04)"
Uzbekistan,"34.89 
 (18.63 to 37.61)","42.47 
 (38.86 to 50.11)","5.57 
 (5.26 to 6.20)","0.46 
 (0.43 to 0.51)","0.11 
 (0.10 to 0.11)"
Venezuela,"60.16 
 (53.21 to 69.58)","74.71 
 (66.52 to 87.80)","20.96 
 (19.51 to 22.69)","7.66 
 (7.13 to 8.29)","0.38 
 (0.35 to 0.41)"
Viet Nam,"30.00 
 (25.68 to 35.97)","36.67 
 (31.58 to 44.36)","17.69 
 (15.76 to 19.86)","5.71 
 (5.13 to 6.39)","0.19 
 (0.17 to 0.21)"
Vanuatu,"38.33 
 (35.81 to 41.66)","43.25 
 (39.22 to 48.26)","26.28 
 (23.85 to 29.99)","1.38 
 (1.27 to 1.56)","0.20 
 (0.19 to 0.23)"
Yemen,"5.66 
 (5.07 to 7.27)","9.16 
 (7.95 to 13.16)","9.03 
 (7.86 to 12.89)","0.15 
 (0.13 to 0.19)","0.04 
 (0.03 to 0.04)"
South Africa,"35.86 
 (26.16 to 39.89)","47.79 
 (43.79 to 62.72)","3.58 
 (3.35 to 3.99)","0.84 
 (0.79 to 0.93)","0.12 
 (0.12 to 0.14)"
